Latitude,Longitude,축종,발생두수
35.2714721,127.8166414,벌-재래종,9
35.2714721,127.8166414,벌-재래종,5
35.121549,127.3677518,벌-재래종,1
37.3382632,127.9559957,벌-재래종,2
37.7120915,127.7440552,벌-재래종,3
36.9635809,127.9320017,벌-재래종,14
37.0572925,128.4364592,벌-재래종,6
35.0436072,127.112621,벌-개량종,1
35.6398854,127.3985765,벌-재래종,59
35.6305091,127.3303778,벌-개량종,100
35.6398854,127.3985765,벌-재래종,1
37.3675393,128.1159262,벌-재래종,3
37.4493679,127.1022852,벌-개량종,20
37.5631941,128.3127372,벌-재래종,1
37.7142062,128.1824685,벌-재래종,1
37.4048732,128.1453026,벌-재래종,1
35.4931652,127.2389306,벌-개량종,90
37.4021616,127.676899,벌-재래종,20
38.1681838,128.1786506,벌-재래종,16
37.6644484,128.4015336,벌-재래종,2
38.1922602,128.1994956,벌-재래종,1
35.1849378,127.3547925,벌-재래종,4
36.0126583,127.8978469,벌-재래종,10
37.4048732,128.1453026,벌-재래종,1
37.4615935,128.153439,벌-재래종,4
37.7953885,128.0466435,벌-재래종,27
37.4615935,128.153439,벌-재래종,3
35.5798635,127.1981911,벌-개량종,50
37.3293308,126.918427,벌-개량종,2
36.6389298,128.2201196,벌-개량종,1
37.4048732,128.1453026,벌-재래종,2
36.6679285,128.5584835,벌-재래종,2
37.6118996,128.3758853,벌-재래종,2
37.6361022,128.3700029,벌-재래종,3
35.2037356,127.3675408,벌-재래종,1
38.0466608,128.3851271,벌-재래종,5
37.6361022,128.3700029,벌-재래종,2
38.0466608,128.3851271,벌-재래종,4
37.8258631,128.0921497,벌-재래종,4
36.6839838,126.5831038,벌-개량종,50
35.8167838,127.1984944,벌-재래종,9
36.3462323,127.9202627,벌-재래종,6
37.6037604,128.3210882,벌-재래종,2
37.5631941,128.3127372,벌-재래종,2
37.6814752,127.6318406,벌-재래종,10
37.0060873,128.9653695,벌-재래종,2
36.9786453,128.85124,벌-재래종,3
38.5393784,128.3767215,벌-재래종,20
35.3363846,127.9217038,벌-개량종,3
35.1223615,126.6091503,벌-재래종,1
37.6644484,128.4015336,벌-재래종,2
34.7347053,127.0449183,벌-재래종,1
37.4531546,129.1559572,벌-개량종,70
37.4579607,129.1460745,벌-개량종,200
36.4518737,129.4294626,벌-재래종,20
35.3897255,127.829636,벌-재래종,5
35.4412163,127.4091203,벌-재래종,1
37.6506105,126.8479415,벌-개량종,20
37.017043,128.8162766,벌-재래종,1
37.2534286,128.726245,벌-재래종,3
36.29654,126.8670582,벌-개량종,9
36.9395457,127.997495,벌-개량종,80
37.4498916,128.1823372,벌-재래종,1
35.2714721,127.8166414,벌-재래종,38
36.0675456,128.2714806,벌-개량종,300
35.1757137,127.3359261,벌-재래종,1
35.121549,127.3677518,벌-재래종,7
35.1077764,127.2000409,벌-개량종,1
35.1378377,128.5161745,벌-재래종,1
38.2355632,127.9878123,벌-개량종,1
34.9964708,127.0719319,벌-재래종,1
36.2136951,129.0125484,벌-재래종,3
35.0119675,127.0777038,벌-재래종,1
35.0807573,127.087375,벌-재래종,1
35.0119675,127.0777038,벌-재래종,7
37.694464,128.2708307,벌-재래종,2
37.4498916,128.1823372,벌-재래종,3
36.6389298,128.2201196,벌-개량종,5
37.1890654,129.0362358,벌-재래종,50
37.6814752,127.6318406,벌-재래종,20
36.9002638,128.1552132,벌-재래종,3
36.4762887,129.1340697,벌-재래종,2
36.4785066,129.1679121,벌-재래종,50
37.258505,128.8253618,벌-재래종,5
34.9811271,127.0915996,벌-재래종,1
34.9964708,127.0719319,벌-재래종,1
36.7659693,127.7038728,벌-재래종,5
36.9786453,128.85124,벌-재래종,6
37.6644484,128.4015336,벌-재래종,2
37.6644484,128.4015336,벌-재래종,2
38.1681838,128.1786506,벌-재래종,2
35.200009,126.9515173,벌-개량종,1
35.200009,126.9515173,벌-개량종,1
35.1556824,127.2116211,벌-재래종,4
36.8308912,128.6942083,벌-개량종,2
35.7169648,127.1893559,벌-재래종,12
36.9781712,128.9144704,벌-재래종,8
37.3352646,128.6022225,벌-재래종,2
35.2344191,127.2867937,벌-재래종,2
35.2344191,127.2867937,벌-재래종,3
35.1556824,127.2116211,벌-재래종,7
34.7026119,127.1659258,벌-재래종,1
35.1998713,127.4104679,벌-재래종,1
35.1998713,127.4104679,벌-재래종,1
35.6634688,128.4027436,벌-개량종,30
35.1986439,127.4529926,벌-재래종,1
34.7015684,127.0514942,벌-재래종,1
36.9781712,128.9144704,벌-재래종,4
37.4358164,129.1399179,벌-개량종,60
37.4381764,128.2000497,벌-재래종,2
35.121549,127.3677518,벌-재래종,2
36.9786453,128.85124,벌-재래종,4
36.6583598,128.8915154,벌-재래종,1
37.017043,128.8162766,벌-재래종,2
