Latitude,Longitude,축종,발생두수,ID_tree,종,카운트,ID
34.7040567,127.1445908,벌-재래종,1,1550,광대싸리,1,324
38.1453645,128.1335981,벌-재래종,3,648,개다래,1,325
37.6361022,128.3700029,벌-재래종,2,5632,생열귀나무,1,326
35.0160601,127.0127779,벌-재래종,1,6809,애기똥풀,1,327
34.7040567,127.1445908,벌-재래종,1,1550,광대싸리,1,328
37.5558764,127.5817911,벌-재래종,4,2517,다래,1,329
37.5306149,127.5850392,벌-재래종,10,2136,굴참나무,1,330
37.5306149,127.5850392,벌-재래종,8,2136,굴참나무,1,331
34.4668234,126.8357079,벌-재래종,1,4777,산초나무,1,332
37.7120915,127.7440552,벌-재래종,9,4190,붉나무,1,333
36.630742,128.9132417,벌-재래종,1,3704,밤나무,1,334
37.5307719,128.7275235,벌-재래종,31,2712,다래,1,335
37.0565536,128.7909086,벌-재래종,5,4400,붉나무,1,336
36.5789495,128.7192854,벌-재래종,8,1877,광대싸리,1,337
34.7015684,127.0514942,벌-재래종,1,1533,광대싸리,1,338
35.1849378,127.3547925,벌-재래종,1,193,갈참나무,1,339
35.0117982,126.8818047,벌-재래종,1,101,갈참나무,1,340
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,341
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,342
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,343
37.1922511,128.8706731,벌-재래종,2,1166,개옻나무,1,344
37.2764225,127.355345,벌-재래종,1,7538,족제비싸리,1,345
37.3675393,128.1159262,벌-재래종,1,6568,아까시나무,2,346
35.7397064,127.1401714,벌-재래종,38,4041,붉나무,1,347
37.8303719,127.8955118,벌-재래종,5,636,개다래,4,348
36.9448146,128.9381286,벌-재래종,1,3151,떡갈나무,1,349
36.3735292,128.9007835,벌-재래종,2,7407,유채,1,350
37.017043,128.8162766,벌-재래종,4,1162,개옻나무,1,351
37.3437715,127.1194183,벌-재래종,5,802,개옻나무,1,352
35.1749839,126.5409272,벌-재래종,2,447,감나무,1,353
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,354
36.4518737,129.4294626,벌-재래종,20,431,갈참나무,1,355
37.7770615,128.0156889,벌-재래종,2,8495,주름잎,1,356
37.6011843,128.2265769,벌-재래종,2,656,개다래,1,357
36.7047911,128.8286576,벌-재래종,29,3704,밤나무,1,358
36.8744093,128.8887244,벌-재래종,4,1887,광대싸리,1,359
36.6932767,128.7045904,벌-재래종,5,3704,밤나무,1,360
34.5278304,126.8366131,벌-재래종,1,2005,굴참나무,1,361
36.9694817,128.7708492,벌-재래종,7,3142,떡갈나무,1,362
34.7128412,127.1870253,벌-재래종,1,2054,굴참나무,1,363
37.9529831,128.1965588,벌-재래종,2,654,개다래,1,364
37.5558764,127.5817911,벌-재래종,3,2517,다래,1,365
36.0302856,127.9284691,벌-재래종,7,2217,굴참나무,1,366
34.7015684,127.0514942,벌-재래종,1,1533,광대싸리,1,367
37.5019304,128.7080385,벌-재래종,10,2712,다래,1,368
37.753529,127.6204995,벌-재래종,3,255,갈참나무,2,369
37.763285,127.5286119,벌-재래종,1,926,개옻나무,1,370
37.6139354,128.1511451,벌-재래종,10,7082,애기똥풀,1,371
38.1453645,128.1335981,벌-재래종,1,648,개다래,1,372
35.6030592,127.596053,벌-재래종,16,597,개다래,1,373
34.7015684,127.0514942,벌-재래종,2,1533,광대싸리,1,374
37.4048732,128.1453026,벌-재래종,2,6568,아까시나무,2,375
37.017043,128.8162766,벌-재래종,3,1162,개옻나무,1,376
37.2082712,129.2480702,벌-재래종,10,8877,초피나무,1,377
36.6178391,127.60997,벌-재래종,15,269,갈참나무,1,378
37.6118996,128.3758853,벌-재래종,1,5632,생열귀나무,1,379
35.0987453,126.6155714,벌-재래종,2,4510,산검양옻나무,1,380
37.763285,127.5286119,벌-재래종,5,926,개옻나무,1,381
37.5107169,127.6332539,벌-재래종,6,2136,굴참나무,1,382
36.0302856,127.9284691,벌-재래종,5,2217,굴참나무,1,383
36.8006931,127.1224079,벌-재래종,9,141,갈참나무,1,384
37.7803639,127.9135629,벌-재래종,6,636,개다래,4,385
37.7803639,127.9135629,벌-재래종,10,636,개다래,4,386
37.7803639,127.9135629,벌-재래종,5,636,개다래,4,387
37.6644484,128.4015336,벌-재래종,1,5632,생열귀나무,1,388
34.7015684,127.0514942,벌-재래종,1,1533,광대싸리,1,389
36.372711,127.1396642,벌-재래종,5,478,감나무,1,390
38.2264721,128.2324778,벌-재래종,4,2253,굴참나무,1,391
37.2919744,128.7445776,벌-재래종,12,7183,애기똥풀,1,392
35.2714721,127.8166414,벌-재래종,13,7011,애기똥풀,1,393
37.539564,128.1012695,벌-재래종,2,7082,애기똥풀,1,394
37.4048732,128.1453026,벌-재래종,1,6568,아까시나무,2,395
37.4351307,128.1088047,벌-재래종,8,6568,아까시나무,2,396
34.7015684,127.0514942,벌-재래종,1,1533,광대싸리,1,397
35.1378377,128.5161745,벌-재래종,2,8841,초피나무,1,398
35.123976,128.805758,벌-재래종,1,8228,졸참나무,1,399
35.1183254,128.5820345,벌-재래종,21,8841,초피나무,1,400
37.6644484,128.4015336,벌-재래종,2,5632,생열귀나무,1,401
37.3675393,128.1159262,벌-재래종,1,6568,아까시나무,2,402
35.0389006,126.9988465,벌-재래종,1,6809,애기똥풀,1,403
37.9429407,127.4806675,벌-재래종,1,1630,광대싸리,1,404
34.9918255,127.1324743,벌-재래종,1,8743,초피나무,1,405
34.9918255,127.1324743,벌-재래종,1,8743,초피나무,1,406
36.7877626,129.2030091,벌-재래종,62,718,개다래,1,407
36.9786453,128.85124,벌-재래종,3,1882,광대싸리,1,408
36.9786453,128.85124,벌-재래종,25,1882,광대싸리,1,409
36.7858857,126.4598336,벌-재래종,13,2796,떡갈나무,3,410
35.8134957,127.2866581,벌-재래종,11,2472,다래,1,411
37.4332607,128.143289,벌-재래종,2,6568,아까시나무,2,412
37.539564,128.1012695,벌-재래종,5,7082,애기똥풀,1,413
37.7754348,128.1419051,벌-재래종,2,6562,아까시나무,1,414
36.751179,128.9409492,벌-재래종,2,8859,초피나무,1,415
37.2310597,129.0577581,벌-재래종,14,536,감나무,1,416
37.4645144,127.9905951,벌-재래종,3,7056,애기똥풀,1,417
