,nearby_id_1,nearby_id_2,nearby_id_3,nearby_id_4,nearby_id_5,nearby_id_6,nearby_id_7,nearby_id_8,nearby_id_9,nearby_id_10,nearby_id_11,nearby_id_12,nearby_id_13,nearby_id_14,nearby_id_15,nearby_id_16,nearby_id_17,nearby_id_18,nearby_id_19,nearby_id_20,nearby_id_21,nearby_id_22,nearby_id_23,nearby_id_24,nearby_id_25,nearby_id_26,nearby_id_27,nearby_id_28
171,151.0,174.0,454.0,,,,,,,,,,,,,,,,,,,,,,,,,
172,235.0,236.0,252.0,292.0,364.0,,,,,,,,,,,,,,,,,,,,,,,
173,151.0,172.0,454.0,,,,,,,,,,,,,,,,,,,,,,,,,
174,28.0,102.0,141.0,547.0,1113.0,,,,,,,,,,,,,,,,,,,,,,,
175,282.0,353.0,626.0,627.0,629.0,647.0,,,,,,,,,,,,,,,,,,,,,,
176,48.0,931.0,,,,,,,,,,,,,,,,,,,,,,,,,,
177,191.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,
178,349.0,675.0,927.0,,,,,,,,,,,,,,,,,,,,,,,,,
179,195.0,245.0,269.0,270.0,426.0,456.0,494.0,518.0,519.0,763.0,799.0,,,,,,,,,,,,,,,,,
180,12.0,27.0,30.0,46.0,122.0,206.0,214.0,231.0,263.0,661.0,680.0,682.0,848.0,1041.0,,,,,,,,,,,,,,
181,164.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,20.0,295.0,296.0,316.0,427.0,831.0,841.0,987.0,,,,,,,,,,,,,,,,,,,,
184,57.0,190.0,727.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,347.0,437.0,558.0,730.0,860.0,,,,,,,,,,,,,,,,,,,,,,,
186,16.0,221.0,248.0,288.0,329.0,330.0,331.0,365.0,422.0,423.0,424.0,430.0,885.0,,,,,,,,,,,,,,,
187,213.0,224.0,321.0,350.0,728.0,729.0,1002.0,,,,,,,,,,,,,,,,,,,,,
188,119.0,163.0,167.0,208.0,233.0,234.0,279.0,280.0,283.0,284.0,289.0,323.0,324.0,328.0,341.0,342.0,343.0,354.0,363.0,564.0,740.0,1013.0,,,,,,
189,57.0,185.0,727.0,,,,,,,,,,,,,,,,,,,,,,,,,
190,178.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,
191,178.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,180.0,245.0,269.0,270.0,379.0,426.0,456.0,494.0,509.0,518.0,519.0,763.0,799.0,,,,,,,,,,,,,,,
195,151.0,243.0,276.0,312.0,444.0,454.0,455.0,458.0,632.0,633.0,634.0,638.0,699.0,749.0,945.0,1095.0,,,,,,,,,,,,
196,6.0,17.0,294.0,464.0,952.0,1001.0,,,,,,,,,,,,,,,,,,,,,,
197,10.0,767.0,891.0,951.0,,,,,,,,,,,,,,,,,,,,,,,,
198,434.0,1047.0,1096.0,1108.0,1137.0,,,,,,,,,,,,,,,,,,,,,,,
199,82.0,512.0,514.0,580.0,584.0,589.0,591.0,599.0,602.0,864.0,1138.0,,,,,,,,,,,,,,,,,
200,45.0,58.0,59.0,134.0,414.0,515.0,914.0,947.0,1074.0,,,,,,,,,,,,,,,,,,,
201,220.0,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,
202,32.0,47.0,74.0,150.0,204.0,404.0,440.0,717.0,745.0,816.0,920.0,921.0,940.0,941.0,,,,,,,,,,,,,,
203,32.0,47.0,74.0,150.0,203.0,404.0,440.0,717.0,745.0,816.0,920.0,921.0,940.0,941.0,,,,,,,,,,,,,,
204,244.0,657.0,732.0,829.0,854.0,,,,,,,,,,,,,,,,,,,,,,,
205,12.0,27.0,30.0,46.0,122.0,181.0,214.0,231.0,263.0,661.0,680.0,682.0,848.0,1041.0,,,,,,,,,,,,,,
206,69.0,286.0,624.0,902.0,,,,,,,,,,,,,,,,,,,,,,,,
207,119.0,163.0,167.0,189.0,233.0,234.0,279.0,280.0,283.0,284.0,289.0,323.0,324.0,328.0,341.0,342.0,343.0,354.0,363.0,564.0,740.0,1013.0,,,,,,
208,698.0,1112.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,10.0,973.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,
